"","增进睡眠","避免畸形","提高免疫","强健肠道","改善贫血","防治眩晕","抵御早衰","疏通乳腺","优化代谢","补充铁质","抚平皱纹","增助能量","强韧发质","充盈皮肤","加强吸收","修复损伤","淡化雀斑","复原伤口","增加动能","加倍润滑","通畅排泄","维持体力","修护屏障","强韧关节","增强疗效","抚平粗糙","滋润角质","保护免疫","保持纤瘦","净化水体","防控污染","平复疤痕","调理血糖","清理肠道","强化黏膜","维系温控","紧致皮肤","滋补血亏","提升智力","放松肌肉","消解毒素","健壮筋骨","挽救心衰","治疗疟疾","强壮肝肾","疏通血管","治疗不孕","抵御辐射","治理土壤","清新空气","减毒甲醛","筛查癌症","杀灭瘟疫","愈合创面","保养卵巢","健康牙龈","缓解疼痛","缓和痉挛","延长勃起","清理毒素","创造生命","加强性欲","坚挺乳房","遏制蛔虫","光滑眼周","敏锐嗅觉","平和愤怒","存续元气","保护胎儿","激活精子","预防突变","延续生命","清除螨虫","扫除黑头","化解肿块","改良基因","完善疗程","修正变异","调理循环","丰富味觉","增加脑回","预防流感","抵抗病毒","巩固疗效","消解肿胀","滋养生态","活化分子","恢复视力","有助呼吸","方便定位","降解农残","改良磨损","创造宇宙","防护玻璃","超越死亡","突破时空","掩护目标","重塑体型","根治早泄","规避事故","优化学习","奖励大脑","调节作息","控制血压","抵御毒性","保护掩体","稳定轨道","防御攻击","精准导航","缓解心悸","防止小产","保护机翼","清洁毛孔","提升嗅觉","消除震颤","抗御病毒","平衡力矩","提亮肤色"
"1",4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"2",5,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,5,3,4,5,5,5,4,4,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,3,3,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,4,3,4,5,5,4,4,4,3,5,4,4,4,4,3,4,3,3,3,3,4,4,4,4,5,4,5,4,4,4,4,4,5,5,4,3,3,5,3,4
"3",4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,5,4,5,4,4,5,3,4,4,5,4,4,4,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,2,5,5,3,4,4,2,4,3,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
"4",4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"5",4,3,4,4,5,4,5,4,4,4,4,4,4,5,3,4,4,4,4,4,3,3,4,4,4,5,5,4,3,4,4,4,4,3,3,3,4,4,5,4,4,5,5,4,4,4,4,4,3,5,4,3,4,4,4,5,4,4,3,4,3,3,3,4,3,4,4,3,5,3,3,3,4,4,4,4,5,3,3,5,4,4,4,3,4,4,4,5,5,5,2,4,3,3,3,3,3,3,4,3,5,4,3,3,4,3,3,3,4,4,4,4,3,3,3,4,3,4
"6",5,5,5,5,5,5,5,5,4,3,5,3,5,5,3,5,4,4,3,3,5,5,5,5,5,5,4,5,3,5,4,5,4,4,5,4,4,5,5,5,4,4,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,3,5,3,3,4,4,4,5,4,5,5,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,4,4,5,5,5,4,5,4,3,4,5,3,4,4,5,5,4,4,5,4,5,4,4,5,5,5,5,4,4,4,5,4,3,5
"7",3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,3,4,4,5,3,5,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,5,4,4,3,5,4,4,4,3,4,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,4,4,4,5,3,5,4,4,4,4,3,4,4,4,4,4,4,3,5,4,3
"8",4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,5,5,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,4,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,4,4,5,4,5,5,4,4,5,5,5,5,4,4,5,4,5,5,4,5,4,5,5,5,4,4,5,4,5,3,5,4,5,5,5,5,4,4,5,5,4,5,5,4,5,5,4,4,3,5,4,4
"9",5,3,4,4,5,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,5,4,3,4,4,2,5,5,4,4,4,4,4,3,4,3,4,5,4,5,5,4,4,4,4,5,5,4,5,5,4,4,4,4,4,2,5,3,2,3,4,3,3,5,5,3,3,3,4,4,4,4,3,4,3,5,3,4,4,4,4,4,5,4,4,5,4,4,3,3,4,3,3,3,3,4,4,4,4,5,4,4,3,4,4,4,5,3,5,4,3,4,4,4,4
"10",4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
"11",5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,4,5,5,3,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,4,3,5,5,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,3,5,5,5,5,5,3,5,3,3,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5
"12",5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4,4,4,4,5,5,3,4,4,4,5,4,2,4,4,3,3,4,4,4,4,3,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,4,4,4,3,4,3,3,3,4,5,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4
"13",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4
"14",5,4,5,5,5,4,5,5,4,4,4,4,4,5,4,4,4,2,4,3,4,4,4,5,4,4,4,5,3,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,4,3,4,5,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,3,3,3,4,5,4,5,4,5,4,4,3,4,3,4,4,5,4,4,4,4,5,4,4
"15",5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4,5,4,5,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,3,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,4,5,4,4,3,4
"16",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,3,3,2,4,4,4,4,3,4,5,4,4,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
"17",4.375,3.6875,4.25,4.1875,4.5625,4.1875,4.3125,4.1875,4.25,3.875,4.125,3.9375,4.125,4.4375,3.875,4.1875,4,3.8125,3.9375,3.4375,4.0625,3.9375,4.25,4.4375,4.25,4.125,3.875,4.3125,3.25,4.3125,4.125,4.1875,4.0625,4,3.75,3.875,4,4.25,4.375,3.8125,4.25,4.5,4.75,4.5625,4.25,4.3125,4.1875,4.125,4.0625,4.625,3.9375,4.125,4.625,4.25,4.1875,4.375,4.1875,3.875,3.375,4.25,3.8125,3,3.75,4.0625,3.6875,4.125,3.9375,4.375,4.375,3.875,3.9375,4.375,4.1875,4.1875,4.1875,4.0625,4.125,3.5625,4.125,4.0625,3.9375,4.1875,4.125,4.1875,4.0625,4.3125,3.9375,4.75,4.4375,4.25,4.0625,4,3.4375,3.8125,3.5,3.125,3.625,3.8125,4.4375,4.125,4.4375,4,4.4375,3.875,4.25,3.9375,4,3.9375,4.25,4.1875,4.25,4.3125,4,3.8125,3.875,4.5625,3.625,4.0625
